place	room	price_pax	total_price	bed	bath	sqft_pax	total_sqft	rating	built	property_units	property_stories	walkscore	transitscore	distance	dist	features	laundry	furnished	internet	ac	balcony	dishwasher	patio	hardwood	tile	intercom	granite	accessible	ice	long	lat	bed_count	address
1526 Armacost Ave	04	1613	4840	3 beds	2.5 baths	500	1500	5.0	2016.0	25	5.0	92	63		2.203584135619931	, Washer/Dryer, Air Conditioning, Dishwasher, Disposal, Ice Maker, Granite Countertops, Stainless Steel Appliances, Vinyl Flooring, Deck, , , , 	True	False	False	True	False	True	False	False	False	False	True	False	True	-118.459739836735	34.0414906326531	3	1526 Armacost Ave, Los Angeles, CA 90025
1552 Berkeley St	3BD/3BA	1700	5100	3 beds	3 baths	533	1600	4.0	1962.0	9	2.0	79	64		2.8016789615800812	, , , , Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Pantry, Kitchen, Microwave, Oven, Range, Refrigerator, Hardwood Floors, Carpet, Tile Floors, Vinyl Flooring, Linen Closet, Window Coverings, Large Bedrooms, Patio, Yard	False	False	False	False	False	True	True	True	True	False	True	False	False	-118.46686	34.034677	3	1552 Berkeley St, Santa Monica, CA 90404
1852 Kelton Ave	One Bed One Bath	2485	2485	1 bed	1 bath	945	945	4.0	1964.0	5	2.0	91	67	1.7	1.6360060463880148	, High Speed Internet Access, Air Conditioning, Heating, Smoke Free, Fireplace, Dishwasher, Disposal, Pantry, Kitchen, Oven, Range, Refrigerator, Breakfast Nook, Hardwood Floors, Large Bedrooms, Balcony, Yard, , , , 	False	False	True	True	True	True	False	True	False	False	False	False	False	-118.437623352981	34.04804805	1	1852 Kelton Ave, Los Angeles, CA 90025
1852 Kelton Ave	Two Bed Two Bath	1692	3385	2 beds	2 baths	622	1245	4.0	1964.0	5	2.0	91	67	1.7	1.6360060463880148	, High Speed Internet Access, Air Conditioning, Heating, Smoke Free, Fireplace, Dishwasher, Disposal, Pantry, Kitchen, Oven, Range, Refrigerator, Breakfast Nook, Hardwood Floors, Large Bedrooms, Balcony, Yard, , , , 	False	False	True	True	True	True	False	True	False	False	False	False	False	-118.437623352981	34.04804805	2	1852 Kelton Ave, Los Angeles, CA 90025
1852 Kelton Ave	Three Bed Two and half	1650	4950	3 beds	2.5 baths	575	1725	4.0	1964.0	5	2.0	91	67	1.7	1.6360060463880148	, High Speed Internet Access, Air Conditioning, Heating, Smoke Free, Fireplace, Dishwasher, Disposal, Pantry, Kitchen, Oven, Range, Refrigerator, Breakfast Nook, Hardwood Floors, Large Bedrooms, Balcony, Yard, , , , 	False	False	True	True	True	True	False	True	False	False	False	False	False	-118.437623352981	34.04804805	3	1852 Kelton Ave, Los Angeles, CA 90025
1609 Veteran Ave	1st Floor	2198	4395	2 beds	2 baths	600	1200	4.0	1963.0	10	3.0	88	70	1.5	1.402437918565262	, Washer/Dryer, Dishwasher, Disposal, Stainless Steel Appliances, Kitchen, Microwave, Refrigerator, Vinyl Flooring, Walk-In Closets, Large Bedrooms, Balcony, , , , 	True	False	False	False	True	True	False	False	False	False	False	False	False	-118.442148208129	34.05077055	2	1609 Veteran Ave, Los Angeles, CA 90024
1609 Veteran Ave	1st Floor	2272	4545	2 beds	2 baths	600	1200	4.0	1963.0	10	3.0	88	70	1.5	1.402437918565262	, Washer/Dryer, Dishwasher, Disposal, Stainless Steel Appliances, Kitchen, Microwave, Refrigerator, Vinyl Flooring, Walk-In Closets, Large Bedrooms, Balcony, , , , 	True	False	False	False	True	True	False	False	False	False	False	False	False	-118.442148208129	34.05077055	2	1609 Veteran Ave, Los Angeles, CA 90024
1609 Veteran Ave	1st Floor	2298	4595	2 beds	2 baths	700	1400	4.0	1963.0	10	3.0	88	70	1.5	1.402437918565262	, Washer/Dryer, Dishwasher, Disposal, Stainless Steel Appliances, Kitchen, Microwave, Refrigerator, Vinyl Flooring, Walk-In Closets, Large Bedrooms, Balcony, , , , 	True	False	False	False	True	True	False	False	False	False	False	False	False	-118.442148208129	34.05077055	2	1609 Veteran Ave, Los Angeles, CA 90024
1609 Veteran Ave	2nd Floor	2298	4595	2 beds	2 baths	700	1400	4.0	1963.0	10	3.0	88	70	1.5	1.402437918565262	, Washer/Dryer, Dishwasher, Disposal, Stainless Steel Appliances, Kitchen, Microwave, Refrigerator, Vinyl Flooring, Walk-In Closets, Large Bedrooms, Balcony, , , , 	True	False	False	False	True	True	False	False	False	False	False	False	False	-118.442148208129	34.05077055	2	1609 Veteran Ave, Los Angeles, CA 90024
1609 Veteran Ave	3rd Floor	2448	4895	2 beds	2 baths	800	1600	4.0	1963.0	10	3.0	88	70	1.5	1.402437918565262	, Washer/Dryer, Dishwasher, Disposal, Stainless Steel Appliances, Kitchen, Microwave, Refrigerator, Vinyl Flooring, Walk-In Closets, Large Bedrooms, Balcony, , , , 	True	False	False	False	True	True	False	False	False	False	False	False	False	-118.442148208129	34.05077055	2	1609 Veteran Ave, Los Angeles, CA 90024
1609 Veteran Ave	3rd Floor	1632	4895	3 beds	2 baths	533	1600	4.0	1963.0	10	3.0	88	70	1.5	1.402437918565262	, Washer/Dryer, Dishwasher, Disposal, Stainless Steel Appliances, Kitchen, Microwave, Refrigerator, Vinyl Flooring, Walk-In Closets, Large Bedrooms, Balcony, , , , 	True	False	False	False	True	True	False	False	False	False	False	False	False	-118.442148208129	34.05077055	3	1609 Veteran Ave, Los Angeles, CA 90024
1609 Veteran Ave	2nd Floor	1632	4895	3 beds	2 baths	467	1400	4.0	1963.0	10	3.0	88	70	1.5	1.402437918565262	, Washer/Dryer, Dishwasher, Disposal, Stainless Steel Appliances, Kitchen, Microwave, Refrigerator, Vinyl Flooring, Walk-In Closets, Large Bedrooms, Balcony, , , , 	True	False	False	False	True	True	False	False	False	False	False	False	False	-118.442148208129	34.05077055	3	1609 Veteran Ave, Los Angeles, CA 90024
